删除歌单名为'摇滚精选'的歌单	歌单管理类
播放歌曲《泡沫》	歌曲操作类
查找歌手Billie Eilish的所有歌曲	歌手相关类
删除歌单名为'蓝调精选'的歌单	歌单管理类
调整音量到大音量	音量控制类
创建歌单名为'爵士精选'的歌单	歌单管理类
播放歌曲《晴天》	歌曲操作类
调整音量到小音量	音量控制类
播放林俊杰的歌曲《Circles》	歌曲操作类
查找歌手Post Malone的所有歌曲	歌手相关类
评论张学友的歌曲《Hello》	歌曲操作类
识别歌曲现在正在播放的音乐	歌曲操作类
播放Coldplay的歌曲《Shape of You》	歌曲操作类
搜索歌曲《江南》	歌曲操作类
评论Rihanna的歌曲《Bad Guy》	歌曲操作类
创建歌单名为'民谣精选'的歌单	歌单管理类
识别歌曲现在正在播放的音乐	歌曲操作类
播放歌曲《吻别》	歌曲操作类
评论歌曲《孤勇者》	歌曲操作类
删除歌单名为'金属精选'的歌单	歌单管理类
分享林俊杰的歌曲《逆光》	歌曲操作类
播放Bruno Mars的歌曲《Hello》	歌曲操作类
下载歌曲《Bad Guy》	歌曲操作类
删除歌单名为'雷鬼精选'的歌单	歌单管理类
分享Rihanna的歌曲《Shape of You》	歌曲操作类
删除歌单名为'民谣精选'的歌单	歌单管理类
查找歌手陈奕迅的所有歌曲	歌手相关类
创建歌单名为'朋克精选'的歌单	歌单管理类
搜索歌曲《Circles》	歌曲操作类
评论歌曲《泡沫》	歌曲操作类
分享Adele的歌曲《Blank Space》	歌曲操作类
识别歌曲现在正在播放的音乐	歌曲操作类
分享歌曲《倔强》	社交分享类
创建歌单名为'国风精选'的歌单	歌单管理类
查找歌手李荣浩的所有歌曲	歌手相关类
下载五月天的歌曲《Poker Face》	歌曲操作类
删除歌单名为'R&B精选'的歌单	歌单管理类
搜索歌曲《泡沫》	歌曲操作类
调整音量到小音量	音量控制类
收藏Coldplay的歌曲《逆光》	歌曲操作类
评论Adele的歌曲《Diamonds》	歌曲操作类
